trAnsaCtion_id,STOre_id,CAShiEr_id,transaction_time,item_count,payment_method,uSeD_cOupon,stOre_reGIOn,totAL_aMOunT
TX000274,S001,C008,2025-04-24 10:00:00,5,QR,True,North,168.37
TX000275,S002,C015,2025-03-30 22:00:00,12,Points,False,West,332.48
TX000276,S005,C013,2024-12-21 12:00:00,7,Cash,False,West,262.57
TX000277,S003,C001,2025-02-08 14:00:00,3,Credit,True,West,48.81
TX000278,S001,C022,2025-04-01 20:00:00,7,QR,False,South,323.48
TX000279,S004,C006,2024-12-17 20:00:00,12,Cash,True,East,592.65
TX000280,S002,C011,2025-03-11 14:00:00,3,Points,True,East,88.27
TX000281,S001,C013,2024-12-11 04:00:00,14,Cash,True,West,262.69
TX000282,S005,C021,2025-01-03 08:00:00,6,Cash,False,West,247.07
TX000283,S002,C020,2025-02-02 20:00:00,8,Credit,False,North,462.32
TX000284,S003,C001,2024-12-25 10:00:00,13,QR,False,South,585.33
TX000285,S002,C011,2024-12-24 06:00:00,6,Cash,False,East,97.04
TX000286,S002,C026,2025-02-12 14:00:00,10,Credit,True,West,298.61
TX000287,S003,C011,2025-04-16 02:00:00,11,Credit,False,West,613.45
TX000288,S003,C008,2024-12-17 10:00:00,3,Credit,True,North,125.16
TX000289,S002,C022,2025-02-20 18:00:00,12,Points,True,East,208.29
TX000290,S003,C003,2025-04-07 20:00:00,5,Credit,False,East,231.15
TX000291,S001,C028,2025-02-01 14:00:00,9,Credit,False,North,249.08
TX000292,S003,C019,2024-12-12 22:00:00,8,Credit,False,North,275.81
TX000293,S003,C012,2025-01-20 16:00:00,6,Credit,True,East,184.51
TX000294,S002,C006,2025-03-13 00:00:00,9,QR,False,North,416.56
TX000295,S001,C028,2025-03-06 14:00:00,2,QR,True,West,41.79
TX000296,S004,C023,2024-12-16 12:00:00,13,Credit,True,East,382.44
TX000297,S004,C008,2025-03-23 10:00:00,11,Cash,False,South,519.5
TX000298,S005,C005,2025-01-08 14:00:00,9,Points,False,East,407.15
TX000299,S003,C010,2025-03-25 08:00:00,10,Cash,False,North,200.87
TX000300,S003,C022,2025-04-29 12:00:00,13,Cash,True,South,357.93
TX000301,S001,C016,2025-01-24 22:00:00,10,Credit,True,West,107.18
TX000302,S004,C012,2025-02-02 14:00:00,6,Cash,False,West,219.05
TX000303,S005,C017,2025-02-18 12:00:00,9,QR,False,West,216.42
TX000304,S001,C006,2025-01-03 12:00:00,12,QR,True,North,127.12
TX000305,S003,C009,2025-03-25 02:00:00,4,Points,False,East,124.94
TX000306,S004,C010,2025-04-07 20:00:00,5,QR,False,North,281.72
TX000307,S005,C020,2024-12-13 04:00:00,2,QR,True,East,112.34
TX000308,S002,C014,2025-03-08 14:00:00,3,Credit,True,North,85.82
TX000309,S004,C014,2025-02-10 22:00:00,1,QR,False,West,32.46
TX000310,S005,C026,2025-04-24 12:00:00,4,Cash,True,North,88.54
TX000311,S001,C029,2025-01-10 16:00:00,12,Cash,False,East,160.98
TX000312,S002,C017,2025-02-16 08:00:00,2,QR,True,West,89.39
TX000313,S005,C030,2025-04-18 14:00:00,12,Points,True,West,600.03
TX000314,S005,C027,2025-01-15 20:00:00,2,Points,True,South,108.01
TX000315,S003,C025,2024-12-29 02:00:00,1,Points,True,East,56.76
TX000316,S004,C016,2025-02-11 14:00:00,10,QR,False,South,557.98
TX000317,S003,C004,2025-01-23 08:00:00,12,Points,True,South,136.43
TX000318,S002,C002,2025-01-09 08:00:00,2,QR,False,South,117.81
TX000319,S005,C016,2024-12-13 12:00:00,4,Cash,True,West,115.9
TX000320,S003,C001,2025-03-30 20:00:00,6,Points,False,South,325.83
TX000321,S004,C003,2025-03-21 02:00:00,13,Points,True,East,416.49
TX000322,S002,C023,2025-04-16 04:00:00,12,Points,True,East,373.31
TX000323,S001,C011,2024-12-22 20:00:00,7,Cash,False,South,73.92
TX000324,S003,C016,2025-04-28 22:00:00,7,QR,True,South,88.35
TX000325,S002,C026,2024-12-12 22:00:00,7,Cash,False,South,304.95
TX000326,S001,C018,2024-12-29 18:00:00,4,Cash,False,South,227.53
TX000327,S003,C015,2025-01-21 22:00:00,12,Credit,True,South,254.64
TX000328,S002,C009,2025-02-23 16:00:00,5,Points,True,South,73.48
TX000329,S002,C012,2025-04-12 22:00:00,14,QR,False,North,289.7
TX000330,S003,C029,2025-02-12 08:00:00,11,QR,True,West,226.78
TX000331,S002,C027,2024-12-01 02:00:00,12,Credit,True,West,295.88
TX000332,S005,C018,2025-02-13 16:00:00,3,Credit,False,West,44.21
TX000333,S003,C005,2025-03-21 14:00:00,1,Cash,True,South,21.78
TX000334,S002,C024,2024-12-22 02:00:00,14,Credit,True,North,784.89
TX000335,S001,C029,2025-04-19 14:00:00,8,QR,True,West,436.09
TX000336,S001,C029,2025-01-07 16:00:00,10,QR,True,East,258.15
TX000337,S005,C028,2025-02-27 08:00:00,11,QR,True,West,658.29
TX000338,S003,C026,2025-03-09 14:00:00,7,Cash,False,West,174.42
TX000339,S002,C008,2025-02-23 12:00:00,14,Points,True,West,645.28
TX000340,S002,C003,2024-12-01 16:00:00,9,Points,True,West,379.8
TX000341,S001,C002,2025-03-15 16:00:00,14,Cash,False,East,185.19
TX000342,S005,C025,2025-03-04 12:00:00,10,QR,True,South,271.15
TX000343,S001,C019,2025-04-20 04:00:00,4,QR,False,East,230.3
TX000344,S001,C008,2025-02-06 22:00:00,12,Cash,False,East,150.52
TX000345,S005,C002,2024-12-18 06:00:00,12,Cash,True,South,224.93
TX000346,S003,C019,2025-03-07 04:00:00,5,Credit,True,East,292.74
TX000347,S002,C001,2025-01-03 14:00:00,5,Cash,False,East,59.95
TX000348,S003,C030,2024-12-13 14:00:00,13,Points,True,West,420.29
TX000349,S004,C027,2024-12-05 10:00:00,7,Cash,False,West,391.42
TX000350,S004,C022,2025-03-06 06:00:00,13,QR,True,South,743.39
TX000351,S004,C013,2025-04-21 08:00:00,9,QR,True,West,530.69
TX000352,S005,C023,2025-01-22 06:00:00,8,QR,False,South,272.53
TX000353,S001,C020,2025-01-18 20:00:00,7,Points,False,South,100.27
TX000354,S003,C017,2025-04-17 08:00:00,14,Points,False,North,680.89
TX000355,S002,C003,2025-03-31 06:00:00,1,Credit,False,South,45.45
TX000356,S004,C009,2025-03-31 10:00:00,12,Cash,False,East,467.77
TX000357,S003,C005,2024-12-09 14:00:00,10,Credit,False,South,544.12
TX000358,S004,C006,2024-12-22 02:00:00,13,Cash,False,North,722.52
TX000359,S004,C004,2025-03-15 04:00:00,6,Cash,False,East,264.97
TX000360,S002,C017,2025-03-05 14:00:00,10,Points,False,North,156.05
TX000361,S005,C030,2025-01-12 10:00:00,9,QR,False,West,132.99
TX000362,S001,C021,2025-04-04 16:00:00,13,Cash,True,East,395.61
TX000363,S005,C021,2024-12-09 04:00:00,7,Points,True,South,172.45
TX000364,S003,C021,2024-12-13 16:00:00,1,Credit,False,North,16.65
TX000365,S005,C016,2025-02-15 02:00:00,9,QR,True,South,365.04
TX000366,S003,C016,2025-02-12 02:00:00,3,Credit,False,West,132.53
TX000367,S003,C022,2024-12-29 02:00:00,14,Credit,True,East,628.58
TX000368,S001,C011,2025-04-24 02:00:00,9,Points,True,South,168.87
