StudentID,Gender,Faculty,EducationLevel,GPA,StudyHours,ExtraActHours,NumFriends,LifeSatisfaction,ExerciseFreq,PersonalExpense
STU113,Female,Engineering,Grade 6,3.299875569,10,5,3,2,4,9314
STU114,Female,Engineering,Grade 6,3.055865093,14,4,15,3,5,10099
STU115,Male,Engineering,Grade 6,3.455007056,13,8,17,2,2,3550
STU116,Female,Arts,Grade 6,2.983274563,14,7,9,1,3,11502
STU117,Male,Education,Grade 4,2.879494185,15,2,19,1,3,7380
STU118,Female,Arts,Grade 5,3.11450299,17,3,7,5,2,4728
STU119,Female,Arts,Grade 6,2.730173912,10,7,5,4,2,7435
STU120,Male,Engineering,Grade 6,3.870382471,19,4,16,5,2,10980
STU121,Female,Arts,Grade 5,3.411557199,14,6,4,3,3,3813
STU122,Male,Engineering,Grade 4,2.450150706,16,8,3,1,4,8619
STU123,Female,Education,Grade 6,2.627120414,14,4,3,5,2,11226
STU124,Male,Business,Grade 4,3.282668503,18,2,18,1,2,7819
STU125,Male,Engineering,Grade 4,3.091658773,16,8,8,4,4,7983
STU126,Female,Education,Grade 4,3.151255855,15,9,12,5,2,9645
STU127,Female,Business,Grade 4,2.903936265,13,2,6,1,5,8829
STU128,Male,Science,Grade 6,3.227586518,13,2,17,2,4,6935
STU129,Female,Engineering,Grade 6,2.915697066,14,6,17,4,4,9539
STU130,Female,Engineering,Grade 4,3.281689772,10,3,16,2,3,10265
STU131,Female,Science,Grade 4,3.386514116,11,8,7,3,2,4506
STU132,Male,Science,Grade 5,3.803370168,13,4,10,4,4,9620
STU133,Male,Engineering,Grade 5,2.742650379,24,4,5,1,5,5513
STU134,Male,Science,Grade 5,2.994440684,17,8,7,2,2,7773
STU135,Male,Arts,Grade 6,2.390509295,15,5,7,3,5,6527
STU136,Male,Business,Grade 5,3.913130709,15,2,18,2,8,6331
STU137,Male,Business,Grade 6,2.012256021,14,6,14,4,2,10550
STU138,Male,Business,Grade 6,3.841434694,21,3,18,2,0,9300
STU139,Male,Arts,Grade 6,3.046734791,22,10,5,2,4,10582
STU140,Male,Science,Grade 6,3.209213965,8,6,3,5,5,6321
STU141,Female,Education,Grade 5,2.917165453,16,5,6,1,2,9863
STU142,Male,Science,Grade 4,3.015550329,15,6,1,2,2,10695
STU143,Female,Engineering,Grade 4,3.2940423,16,3,1,5,2,8063
STU144,Female,Business,Grade 4,2.181676269,16,10,13,1,5,6566
STU145,Female,Science,Grade 5,2.673936881,14,2,8,4,1,7671
STU146,Male,Education,Grade 4,2.577471358,12,2,6,4,1,5952
STU147,Male,Engineering,Grade 5,3.223702392,25,4,4,5,3,7385
STU148,Male,Arts,Grade 5,3.002183099,9,6,11,5,5,7412
STU149,Male,Arts,Grade 5,3.30904792,16,4,17,4,0,4637
STU150,Female,Education,Grade 4,3.082387502,14,2,18,3,2,9123
STU151,Male,Engineering,Grade 4,3.529294418,14,7,15,1,5,6497
STU152,Male,Business,Grade 4,2.629862854,13,5,11,1,2,9645
STU153,Male,Science,Grade 6,3.02907789,20,9,5,5,3,9929
STU154,Male,Engineering,Grade 5,3.554681707,13,5,0,1,3,4547
STU155,Male,Arts,Grade 6,3.454663024,9,8,11,3,3,9352
STU156,Female,Education,Grade 5,2.260177722,18,9,10,1,1,9232
STU157,Male,Education,Grade 4,2.489444606,14,7,10,5,5,10130
STU158,Female,Science,Grade 5,2.959104531,15,3,8,2,1,8880
STU159,Male,Education,Grade 5,2.882581664,20,5,1,2,0,3627
STU160,Female,Education,Grade 6,2.967286636,22,5,7,5,1,5668
STU161,Male,Engineering,Grade 5,3.39809515,10,4,0,2,1,6947
STU162,Male,Business,Grade 4,3.144691503,10,4,0,1,7,6512
STU163,Female,Science,Grade 5,3.173845452,18,4,11,5,1,6248
STU164,Female,Engineering,Grade 5,3.335306784,15,5,3,5,3,7600
STU165,Female,Business,Grade 5,3.537087103,19,11,0,5,1,9192
STU166,Male,Engineering,Grade 6,1.471993919,11,4,11,2,4,10813
STU167,Female,Engineering,Grade 5,2.806686776,9,4,13,4,3,10342
STU168,Male,Education,Grade 5,2.558516106,14,4,0,2,5,9236
STU169,Male,Business,Grade 6,3.237658068,16,4,11,5,2,9062
STU170,Female,Science,Grade 6,2.768948022,17,5,4,1,1,8023
STU171,Female,Science,Grade 6,3.037930808,16,2,1,4,6,8058
STU172,Male,Business,Grade 6,3.426071538,12,6,3,5,5,6881
STU173,Male,Education,Grade 4,2.698507031,6,12,10,2,2,5321
STU174,Female,Arts,Grade 4,3.181407836,12,6,17,3,7,6975
STU175,Female,Engineering,Grade 5,3.776913912,11,6,18,5,1,7384
STU176,Female,Education,Grade 4,3.41580773,11,7,17,1,5,9658
STU177,Male,Business,Grade 5,2.207111322,15,6,19,3,1,10120
STU178,Male,Engineering,Grade 4,2.854126649,15,6,14,3,0,5620
STU179,Male,Science,Grade 6,3.177908168,16,4,14,2,4,7732
STU180,Male,Arts,Grade 6,3.276391928,13,7,8,2,5,6771
STU181,Male,Science,Grade 4,2.873825481,16,4,7,4,1,7530
STU182,Male,Business,Grade 4,2.680105555,17,6,9,5,2,2639
STU183,Female,Engineering,Grade 5,3.033881467,18,4,7,4,5,1505
STU184,Male,Business,Grade 5,2.456557648,10,4,10,4,5,7872
STU185,Male,Engineering,Grade 5,3.549867133,16,7,18,3,4,9382
STU186,Male,Education,Grade 6,3.934340487,12,2,11,2,3,9475
STU187,Female,Arts,Grade 6,3.197346984,12,2,6,3,4,6399
STU188,Male,Education,Grade 6,2.883780723,14,10,0,5,2,10313
STU189,Male,Education,Grade 6,3.4704505,21,6,2,4,3,8258
STU190,Female,Business,Grade 5,3.385964612,15,4,12,4,2,9488
STU191,Male,Arts,Grade 6,2.862229627,16,4,3,5,2,8818
STU192,Male,Engineering,Grade 6,2.976078215,11,3,9,4,3,9792
STU193,Male,Engineering,Grade 6,2.69523283,12,2,5,2,2,6560
STU194,Male,Science,Grade 6,3.082342412,23,2,3,2,2,6833
STU195,Male,Engineering,Grade 4,3.14945457,15,6,7,4,4,5952
STU196,Female,Business,Grade 5,2.609933673,16,3,13,5,4,5783
STU197,Female,Education,Grade 5,2.462661829,17,3,17,3,2,6493
STU198,Female,Education,Grade 6,2.336992294,15,0,7,4,1,6785
STU199,Male,Education,Grade 4,3.208267331,16,7,4,1,4,12177
STU200,Male,Arts,Grade 5,2.994258715,15,4,13,2,1,11278
STU201,Male,Engineering,Grade 5,2.958212927,14,5,14,1,3,9273
STU202,Female,Business,Grade 6,3.232262961,15,3,19,1,1,6906
STU203,Male,Arts,Grade 6,2.549519012,16,4,16,1,2,8018
STU204,Male,Science,Grade 5,2.464873632,19,5,3,4,3,11239
STU205,Female,Business,Grade 5,3.120540959,19,3,19,4,2,7379
STU206,Male,Business,Grade 4,2.13566052,24,3,12,1,3,5328
STU207,Female,Business,Grade 5,2.870507735,11,4,14,4,0,13290
STU208,Female,Education,Grade 5,4,18,5,8,1,0,8379
STU209,Female,Business,Grade 6,2.325731269,14,5,16,1,4,12503
STU210,Male,Engineering,Grade 5,2.78512882,19,2,2,3,5,8278
STU211,Male,Business,Grade 6,1.938553598,13,4,8,3,1,8429
STU212,Male,Education,Grade 5,2.883135971,16,6,10,3,2,10291
STU213,Male,Business,Grade 5,3.983268214,12,6,19,5,2,8297
STU214,Male,Science,Grade 5,3.233458718,11,10,4,2,5,8401
STU215,Male,Science,Grade 4,2.693110345,12,3,17,4,0,10314
STU216,Male,Education,Grade 6,4,11,6,11,3,4,11684
STU217,Female,Engineering,Grade 4,2.128823695,15,5,18,2,5,10006
STU218,Male,Engineering,Grade 5,3.22697158,16,5,4,2,10,7641
STU219,Female,Arts,Grade 4,3.032456394,13,5,11,4,4,7360
STU220,Male,Education,Grade 6,2.87648766,15,1,5,5,1,7884
STU221,Male,Business,Grade 5,3.403545737,17,9,16,1,1,8520
STU222,Male,Education,Grade 4,2.409010296,22,6,13,3,2,7308
STU223,Female,Arts,Grade 4,3.156311317,12,2,2,5,0,8341
STU224,Female,Education,Grade 6,3.092829161,17,2,0,4,3,10328
STU225,Female,Education,Grade 4,2.564493668,13,10,12,5,2,7094
STU226,Female,Arts,Grade 6,3.97499779,11,6,17,2,0,9409
STU227,Male,Engineering,Grade 5,2.909081368,15,4,9,5,4,6290
STU228,Female,Business,Grade 5,2.930674814,15,3,18,3,2,7068
STU229,Male,Arts,Grade 4,2.486161412,13,7,18,5,3,10120
STU230,Male,Science,Grade 5,2.918329774,12,7,16,5,2,10622
STU231,Female,Engineering,Grade 5,4,18,9,6,2,2,5433
STU232,Female,Science,Grade 4,2.87364407,19,7,7,5,3,11563
STU233,Female,Engineering,Grade 5,3.259350972,9,6,15,2,5,8908
STU234,Female,Business,Grade 4,3.475273866,19,5,15,3,0,3486
STU235,Female,Business,Grade 6,2.909298844,12,5,15,3,3,5827
STU236,Female,Education,Grade 6,2.795204849,18,5,19,1,4,9819
STU237,Female,Science,Grade 6,3.236131941,10,4,8,1,3,9524
STU238,Female,Engineering,Grade 4,2.879370816,27,5,12,2,3,9487
STU239,Male,Business,Grade 4,2.834077464,18,6,3,1,1,2663
STU240,Female,Arts,Grade 5,3.469944947,18,8,9,1,4,8055
STU241,Female,Business,Grade 5,2.965288457,14,5,8,4,0,7264
STU242,Male,Arts,Grade 5,3.606619919,18,2,17,1,3,8007
STU243,Female,Engineering,Grade 5,2.954036656,16,3,11,5,5,6496
STU244,Male,Business,Grade 5,2.341402221,11,5,9,3,0,3693
STU245,Male,Business,Grade 4,1.287102324,29,5,16,1,6,1797
STU246,Female,Engineering,Grade 4,2.080925777,9,3,11,2,2,9207
STU247,Male,Business,Grade 6,2.167019767,25,5,1,4,3,6569
STU248,Male,Arts,Grade 6,3.133268965,13,3,13,4,3,6448
STU249,Male,Business,Grade 6,2.514333653,11,10,5,3,1,8881
STU250,Male,Science,Grade 6,2.012934312,12,6,10,3,2,8152
STU251,Female,Education,Grade 4,2.934547156,10,3,13,2,3,8001
STU252,Male,Arts,Grade 4,2.459085966,20,3,13,2,3,10924
STU253,Female,Science,Grade 4,3.231549569,17,7,5,2,3,11536
STU254,Male,Engineering,Grade 5,3.219134324,14,5,0,4,4,11533
STU255,Male,Arts,Grade 5,3.272043141,16,8,16,4,3,5961
STU256,Male,Education,Grade 6,1.720859736,12,5,16,2,2,10524
STU257,Male,Education,Grade 5,3.022704563,13,8,16,1,3,5693
STU258,Female,Engineering,Grade 4,2.9392988,16,6,9,1,1,9653
STU259,Female,Engineering,Grade 6,2.38917786,17,6,9,2,5,6496
STU260,Male,Arts,Grade 6,1.931284619,15,8,13,2,2,8213
STU261,Male,Business,Grade 5,2.945657539,13,8,0,4,2,8776
STU262,Female,Engineering,Grade 6,3.532058027,15,6,1,1,1,8384
STU263,Male,Business,Grade 5,1.709121199,18,5,17,3,3,9618
STU264,Male,Science,Grade 5,2.583739564,17,3,19,3,3,8245
STU265,Male,Education,Grade 6,3.065767556,15,5,2,5,4,6649
STU266,Female,Business,Grade 5,3.562459997,17,4,3,3,1,7120
STU267,Female,Education,Grade 5,2.843814243,9,5,4,1,4,7001
STU268,Female,Business,Grade 5,3.965501474,14,3,19,4,3,7950
STU269,Male,Science,Grade 5,2.10234673,10,4,2,1,3,8348
STU270,Male,Engineering,Grade 6,1.991531039,11,6,2,1,0,6545
STU271,Female,Science,Grade 4,3.508857525,9,12,3,3,0,6495
STU272,Female,Engineering,Grade 4,1.825187874,13,5,5,2,3,8849
STU273,Female,Engineering,Grade 5,3.230766168,8,8,6,5,4,10154
STU274,Female,Education,Grade 5,2.852733781,12,9,3,3,3,6889
STU275,Male,Science,Grade 5,2.549499699,17,5,14,3,3,8405
STU276,Female,Business,Grade 4,2.786666396,14,6,5,3,5,7689
STU277,Male,Science,Grade 5,2.355464053,13,6,4,5,1,12086
STU278,Female,Education,Grade 6,2.840832972,14,0,7,4,3,10695
STU279,Male,Engineering,Grade 6,3.008709667,20,5,5,3,8,6503
STU280,Female,Education,Grade 6,2.791889012,18,4,16,4,4,7493
STU281,Female,Arts,Grade 4,2.707531859,16,2,15,4,6,7794
STU282,Female,Arts,Grade 5,3.127068498,12,6,10,1,4,6536
STU283,Female,Business,Grade 5,3.829785898,19,5,0,2,5,6367
STU284,Male,Education,Grade 5,2.866898299,22,4,13,5,0,9939
STU285,Female,Business,Grade 4,3.409995253,10,6,12,2,2,3487
STU286,Male,Business,Grade 4,2.516911501,16,3,9,4,2,7929
STU287,Male,Arts,Grade 4,2.33295935,12,10,9,4,3,9568
STU288,Male,Business,Grade 4,3.226657694,26,6,7,5,3,11047
STU289,Male,Arts,Grade 6,2.883232728,16,5,8,2,2,9988
STU290,Female,Engineering,Grade 4,3.564748671,16,6,3,1,2,5114
STU291,Male,Education,Grade 4,3.662711758,16,4,10,2,3,9235
STU292,Male,Business,Grade 4,3.419542421,20,5,8,3,2,11988
STU293,Male,Arts,Grade 5,3.408679165,13,3,11,2,3,6233
STU294,Female,Science,Grade 5,1.287318457,12,5,12,4,4,6730
STU295,Female,Business,Grade 5,3.22226125,20,4,7,5,4,7952
STU296,Female,Engineering,Grade 6,3.431439915,19,3,12,3,1,9186
STU297,Female,Engineering,Grade 6,2.364108699,6,6,0,4,1,10379
STU298,Male,Science,Grade 4,3.004386256,11,4,10,2,4,7711
STU299,Male,Arts,Grade 5,2.478635893,15,3,1,5,3,10429
STU300,Female,Business,Grade 6,3.513755297,15,5,4,3,4,7067
STU301,Male,Arts,Grade 5,2.522000967,11,4,10,2,2,5188
STU302,Male,Engineering,Grade 6,2.603568947,10,1,3,3,4,8656
STU303,Male,Arts,Grade 6,2.767974917,18,3,7,1,2,7922
STU304,Female,Engineering,Grade 4,4,13,5,11,1,4,7975
STU305,Female,Arts,Grade 4,3.502336135,11,6,2,5,6,9407
STU306,Male,Science,Grade 6,3.806301929,16,3,16,1,2,7806
STU307,Female,Education,Grade 4,2.093440072,23,5,7,4,2,10211
STU308,Female,Science,Grade 6,2.365352627,18,3,5,2,1,11745
STU309,Female,Science,Grade 6,3.669289822,19,7,3,3,4,9291
STU310,Female,Education,Grade 5,2.119919426,18,5,3,3,5,9938
STU311,Female,Education,Grade 4,2.664157915,12,4,6,1,2,3352
STU312,Male,Business,Grade 4,4,15,9,9,3,4,9192
STU313,Female,Business,Grade 4,2.518267635,8,2,5,3,3,8202
STU314,Male,Science,Grade 5,2.089501274,17,2,3,2,2,7202
STU315,Male,Science,Grade 5,3.023737252,14,6,9,5,2,4608
STU316,Female,Engineering,Grade 5,2.110128513,13,12,19,3,1,9091
STU317,Male,Engineering,Grade 4,3.618625036,11,2,16,1,0,6306
STU318,Male,Business,Grade 4,2.552570625,7,6,19,1,4,5318
STU319,Male,Business,Grade 4,2.452380486,15,3,5,5,3,11232
STU320,Female,Engineering,Grade 5,3.014691176,15,6,10,3,3,7095
STU321,Female,Engineering,Grade 5,2.797781074,13,9,17,3,2,5612
STU322,Male,Arts,Grade 6,3.126174597,11,4,8,3,2,8084
STU323,Female,Arts,Grade 5,3.260752225,11,5,11,5,2,7895
STU324,Female,Engineering,Grade 6,2.891356128,19,5,10,1,1,9970
STU325,Female,Arts,Grade 4,2.419275695,11,2,17,3,4,8478
STU326,Female,Education,Grade 5,3.365254143,16,4,1,3,2,9681
STU327,Male,Business,Grade 4,2.653295091,20,7,15,4,8,4265
STU328,Male,Business,Grade 4,2.565455513,4,5,8,2,1,9558
STU329,Female,Engineering,Grade 4,3.071330308,24,5,15,5,4,10411
STU330,Female,Science,Grade 4,2.03566879,11,6,11,2,3,6857
STU331,Male,Engineering,Grade 5,3.195438017,15,5,16,5,3,9448
STU332,Male,Arts,Grade 4,3.097881002,13,3,12,2,8,5072
STU333,Female,Science,Grade 6,3.56090982,15,5,3,4,5,10023
STU334,Male,Arts,Grade 5,2.74980393,13,6,12,2,1,5919
STU335,Female,Education,Grade 4,3.662415766,14,5,11,3,1,9848
STU336,Female,Arts,Grade 5,3.26482145,16,5,1,2,3,6612
STU337,Male,Education,Grade 6,2.986605413,13,9,16,2,7,7430
STU338,Male,Education,Grade 4,3.908347963,20,6,14,1,3,6302
STU339,Female,Arts,Grade 6,3.047606365,17,4,12,5,5,9534
STU340,Female,Arts,Grade 4,2.740816336,11,5,1,2,4,7829
STU341,Male,Education,Grade 6,3.061919997,9,7,5,3,2,5010
STU342,Female,Science,Grade 4,2.730515416,19,6,11,3,5,8151
STU343,Male,Education,Grade 5,3.18682334,11,6,0,5,4,8339
STU344,Female,Business,Grade 4,3.660343641,19,4,14,4,4,5618
STU345,Male,Education,Grade 5,2.995997984,19,6,2,5,0,8397
STU346,Male,Science,Grade 4,3.04506983,15,5,9,3,1,9071
STU347,Male,Business,Grade 4,3.398915597,20,7,5,4,2,4256
STU348,Female,Engineering,Grade 6,3.593620012,14,7,4,4,6,5470
STU349,Female,Engineering,Grade 6,2.773682367,18,2,7,1,3,8471
STU350,Male,Science,Grade 6,3.086168003,17,9,5,2,5,8656
STU351,Female,Education,Grade 4,3.401131154,9,7,10,1,2,7702
STU352,Male,Arts,Grade 4,3.164976128,12,6,13,2,6,10171
STU353,Male,Science,Grade 4,2.068955282,16,4,19,1,2,6436
STU354,Female,Business,Grade 5,3.49136348,14,5,4,4,4,9025
STU355,Female,Business,Grade 5,3.261440657,16,3,12,2,4,6635
STU356,Male,Engineering,Grade 4,3.29697437,16,3,8,3,6,12719
STU357,Female,Business,Grade 6,2.403924636,25,8,9,4,2,9131
STU358,Female,Science,Grade 6,3.076194967,12,4,10,5,2,4971
STU359,Male,Business,Grade 6,3.421672617,8,5,5,4,6,11810
STU360,Male,Science,Grade 4,2.559709698,18,6,4,3,3,4303
STU361,Female,Arts,Grade 6,2.689727725,19,4,4,1,4,10064
STU362,Male,Engineering,Grade 4,3.430239561,13,4,15,2,3,6102
STU363,Male,Business,Grade 5,2.666448688,16,4,7,1,4,10587
STU364,Female,Science,Grade 6,2.895745561,17,4,14,1,3,7393
STU365,Male,Education,Grade 5,2.48269067,19,6,14,2,3,5179
STU366,Male,Engineering,Grade 6,3.909969284,24,4,8,1,3,9188
STU367,Female,Arts,Grade 4,3.260311383,12,5,14,3,4,5454
STU368,Female,Science,Grade 4,2.872302512,19,5,7,5,0,6100
STU369,Male,Arts,Grade 4,2.778812405,17,7,13,2,4,5869
STU370,Male,Arts,Grade 4,2.385817688,16,2,6,1,1,7087
STU371,Female,Business,Grade 6,2.944949954,5,2,11,2,4,6724
STU372,Female,Business,Grade 5,3.332529041,12,6,0,1,3,7931
STU373,Female,Science,Grade 4,2.595092951,16,4,14,3,5,6193
STU374,Female,Education,Grade 6,3.052770561,5,5,6,4,5,4242
STU375,Male,Science,Grade 5,2.816309113,9,2,14,5,4,9067
STU376,Female,Education,Grade 4,3.690057965,13,3,9,5,1,8777
STU377,Female,Arts,Grade 5,2.681650618,18,5,5,2,0,7871
STU378,Male,Engineering,Grade 4,3.388577937,10,7,15,5,3,8083
STU379,Female,Science,Grade 5,3.697011298,18,6,13,1,3,9832
STU380,Male,Science,Grade 5,2.811434698,13,8,11,3,6,8842
STU381,Female,Education,Grade 4,2.705711276,16,2,16,3,2,9471
STU382,Female,Arts,Grade 6,3.461351159,14,4,9,2,5,8097
STU383,Female,Arts,Grade 5,2.109388043,13,6,9,1,4,10199
STU384,Male,Education,Grade 4,3.21529732,6,7,7,5,1,9617
STU385,Male,Arts,Grade 5,2.212339104,21,4,10,1,0,4469
STU386,Female,Business,Grade 5,3.611205833,14,7,17,5,4,5690
STU387,Male,Engineering,Grade 6,2.873951828,10,6,12,1,4,5974
STU388,Male,Science,Grade 5,2.954610955,13,10,19,5,1,8634
STU389,Male,Engineering,Grade 5,2.637875395,16,9,15,5,4,10476
